Latitude	Longitude	Date	Yr_code	Bay	Site	Size	LL	LO	NL	TT	FV	AN	ME	MM	OSB	NSB	PSB	PFV	PAN	PME	PBR
44 8.633	68 26.650	25Jul1996	1996b	BC	DK	1	17.6	3.0	0.0	0.0	-999.9	0.4	0.0	0.0	3.7	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.657	68 26.687	25Jul1996	1996b	BC	DK	2	36.2	0.8	0.0	0.0	-999.9	9.0	4.8	0.0	2.7	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.651	68 26.665	25Jul1996	1996b	BC	DK	4	25.0	3.6	0.0	1.2	-999.9	8.6	3.2	0.0	0.4	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.672	68 26.701	25Jul1996	1996b	BC	DK	8	45.8	11.8	0.0	1.6	-999.9	19.6	15.6	0.0	1.5	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.288	68 25.917	07Jul1996	1996b	BC	LC	1	3.0	0.6	0.2	0.2	-999.9	8.6	0.0	0.0	1.3	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.292	68 25.940	07Jul1996	1996b	BC	LC	2	17.8	2.8	0.2	0.2	-999.9	15.4	28.8	0.0	1.6	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.306	68 25.967	07Jul1996	1996b	BC	LC	4	13.2	0.8	0.0	2.2	-999.9	15.0	0.8	0.0	1.2	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.276	68 25.896	07Jul1996	1996b	BC	LC	8	23.0	1.8	0.0	0.8	-999.9	12.0	16.8	0.0	1.4	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.450	68 26.503	20Jul1996	1996b	BC	MP	1	111.6	2.2	4.2	4.0	-999.9	4.2	44.2	0.0	1.5	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.452	68 26.481	20Jul1996	1996b	BC	MP	2	19.8	0.4	0.2	1.4	-999.9	6.2	13.0	0.0	8.6	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.433	68 26.427	20Jul1996	1996b	BC	MP	4	90.0	0.4	0.0	1.2	-999.9	4.4	71.6	0.0	2.6	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.449	68 26.456	20Jul1996	1996b	BC	MP	8	71.6	0.6	0.0	0.6	-999.9	2.6	6.8	0.0	4.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.456	68 26.911	18Jul1996	1996b	MC	BO	1	38.4	1.0	0.0	0.0	-999.9	16.4	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.510	68 26.873	18Jul1996	1996b	MC	BO	2	51.8	8.8	2.4	0.6	-999.9	2.8	0.0	0.0	0.1	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.469	68 26.897	18Jul1996	1996b	MC	BO	4	32.0	0.2	0.4	0.8	-999.9	9.4	5.8	0.0	4.6	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.500	68 26.884	16Jul1996	1996b	MC	BO	8	28.8	4.4	0.8	1.4	-999.9	8.2	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.475	68 25.379	31Jul1996	1996b	MC	BS	1	23.0	1.8	0.6	0.0	-999.9	6.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.484	68 25.372	31Jul1996	1996b	MC	BS	2	34.6	0.4	0.0	0.0	-999.9	5.4	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.509	68 25.358	31Jul1996	1996b	MC	BS	4	24.4	2.0	0.0	0.4	-999.9	5.6	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.497	68 25.366	31Jul1996	1996b	MC	BS	8	6.0	1.4	0.0	0.2	-999.9	6.4	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.855	68 27.207	22Jul1996	1996b	MC	GR	1	14.8	4.2	0.0	0.0	-999.9	15.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.877	68 27.203	22Jul1996	1996b	MC	GR	2	15.2	2.4	0.0	0.0	-999.9	14.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.866	68 27.207	22Jul1996	1996b	MC	GR	4	8.4	4.0	0.0	0.6	-999.9	28.2	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.839	68 27.221	22Jul1996	1996b	MC	GR	8	20.4	21.4	0.0	0.8	-999.9	3.4	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.361	68 28.309	09Jul1996	1996b	SC	HN	1	161.2	1.2	1.0	0.6	-999.9	7.2	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.354	68 28.316	09Jul1996	1996b	SC	HN	2	149.2	1.2	2.0	1.4	-999.9	5.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.377	68 28.281	09Jul1996	1996b	SC	HN	4	84.2	22.6	0.2	1.4	-999.9	9.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.326	68 28.314	09Jul1996	1996b	SC	HN	8	23.6	39.6	0.0	2.2	-999.9	7.2	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.931	68 28.642	17Jul1996	1996b	SC	MD	1	45.2	1.4	0.0	0.8	-999.9	0.4	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.909	68 28.635	12Jul1996	1996b	SC	MD	2	56.6	3.8	0.0	0.4	-999.9	21.6	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.946	68 28.596	12Jul1996	1996b	SC	MD	4	52.0	0.6	0.0	1.6	-999.9	10.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.945	68 28.626	12Jul1996	1996b	SC	MD	8	40.6	1.8	0.0	0.8	-999.9	16.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.606	68 28.858	03Jul1996	1996b	SC	PL	1	27.8	10.4	0.4	2.2	-999.9	17.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.615	68 28.802	03Jul1996	1996b	SC	PL	2	30.4	7.4	0.4	1.4	-999.9	7.6	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.615	68 28.816	03Jul1996	1996b	SC	PL	4	25.0	23.2	0.0	2.2	-999.9	12.6	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.613	68 28.849	03Jul1996	1996b	SC	PL	8	16.4	19.4	0.0	1.4	-999.9	18.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.318	68 28.167	05Jul1996	1996b	TC	JL	1	7.8	12.0	0.2	2.6	-999.9	2.6	0.0	0.0	0.7	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.309	68 28.157	05Jul1996	1996b	TC	JL	2	52.4	7.0	0.8	0.6	-999.9	6.6	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.312	68 28.98	05Jul1996	1996b	TC	JL	4	10.6	35.6	0.0	1.2	-999.9	11.2	0.0	0.0	4.5	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.312	68 28.141	05Jul1996	1996b	TC	JL	8	37.0	24.2	0.6	0.8	-999.9	1.2	0.0	0.0	0.2	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.165	68 27.186	14Aug1996	1996b	TC	LD	1	9.8	1.6	1.2	0.6	-999.9	4.8	0.0	8.4	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.152	68 27.156	14Aug1996	1996b	TC	LD	2	7.0	4.0	4.8	1.6	-999.9	3.8	1.0	7.8	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.121	68 27.133	14Aug1996	1996b	TC	LD	4	3.6	3.6	0.6	0.8	-999.9	6.6	0.0	2.6	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.133	68 27.145	13Aug1996	1996b	TC	LD	8	14.2	17.6	2.0	3.0	-999.9	5.2	0.2	0.0	1.8	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.460	68 27.804	01Jul1996	1996b	TC	LH	1	106.4	28.6	0.2	7.6	-999.9	6.4	0.0	0.4	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.463	68 27.772	01Jul1996	1996b	TC	LH	2	61.4	4.8	0.0	1.6	-999.9	8.2	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.468	68 27.790	01Jul1996	1996b	TC	LH	4	29.8	20.0	0.0	0.4	-999.9	6.8	0.2	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.451	68 27.826	01Jul1996	1996b	TC	LH	8	53.8	4.4	11.2	2.6	-999.9	4.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.629	68 26.663	05Jun1997	1997a	BC	DK	0	28.8	8.4	1.6	0.2	-999.9	-999.9	7.0	0.0	2.2	2.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.633	68 26.650	05Jun1997	1997a	BC	DK	1	5.2	5.4	0.2	0.0	-999.9	-999.9	0.4	0.0	0.4	5.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.657	68 26.687	05Jun1997	1997a	BC	DK	2	8.6	0.0	0.0	0.0	-999.9	-999.9	0.0	0.0	0.2	8.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.651	68 26.665	05Jun1997	1997a	BC	DK	4	15.6	1.0	0.6	0.0	-999.9	-999.9	0.6	0.0	0.0	4.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.672	68 26.701	05Jun1997	1997a	BC	DK	8	34.4	0.4	0.6	0.0	-999.9	-999.9	2.6	0.0	0.0	20.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.302	68 25.950	05Jun1997	1997a	BC	LC	0	15.8	3.8	1.0	0.2	-999.9	-999.9	13.4	0.0	0.8	6.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.288	68 25.917	05Jun1997	1997a	BC	LC	1	11.6	1.8	0.4	0.0	-999.9	-999.9	0.0	0.0	0.6	10.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.292	68 25.940	05Jun1997	1997a	BC	LC	2	22.2	3.0	0.4	2.2	-999.9	-999.9	17.8	0.0	0.0	12.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.306	68 25.967	05Jun1997	1997a	BC	LC	4	42.0	3.8	0.4	0.0	-999.9	-999.9	3.0	0.0	0.2	13.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.276	68 25.896	05Jun1997	1997a	BC	LC	8	75.0	1.0	0.4	0.0	-999.9	-999.9	35.2	0.0	0.6	14.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.443	68 26.448	04Jun1997	1997a	BC	MP	0	40.2	0.8	0.8	2.4	-999.9	-999.9	36.8	0.0	2.0	11.1	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.450	68 26.503	04Jun1997	1997a	BC	MP	1	78.6	0.4	4.0	9.6	-999.9	-999.9	80.0	0.0	0.1	9.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.452	68 26.481	04Jun1997	1997a	BC	MP	2	25.6	0.0	1.4	0.6	-999.9	-999.9	3.8	0.0	0.1	11.1	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.433	68 26.427	26May1997	1997a	BC	MP	4	90.2	0.4	1.0	0.4	-999.9	-999.9	79.0	0.0	1.2	20.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.449	68 26.456	04Jun1997	1997a	BC	MP	8	47.4	0.0	0.6	0.0	-999.9	-999.9	4.2	0.0	0.6	14.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.487	68 26.890	03Jun1997	1997a	MC	BO	0	103.2	1.4	0.8	1.4	-999.9	-999.9	6.2	0.0	0.0	1.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.456	68 26.911	03Jun1997	1997a	MC	BO	1	64.0	0.0	1.4	0.0	-999.9	-999.9	0.4	0.2	0.0	8.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.510	68 26.873	03Jun1997	1997a	MC	BO	2	5.6	0.0	0.2	1.2	-999.9	-999.9	0.0	0.0	0.1	3.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.469	68 26.897	03Jun1997	1997a	MC	BO	4	44.2	0.0	0.2	0.0	-999.9	-999.9	2.6	0.0	3.1	32.6	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.500	68 26.884	03Jun1997	1997a	MC	BO	8	14.6	0.0	2.6	0.0	-999.9	-999.9	0.0	0.0	0.0	11.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.462	68 25.380	03Jun1997	1997a	MC	BS	0	16.0	4.6	4.4	0.6	-999.9	-999.9	0.0	2.6	0.0	0.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.475	68 25.379	04Jun1997	1997a	MC	BS	1	24.4	0.2	2.4	0.2	-999.9	-999.9	0.0	0.6	0.0	2.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.484	68 25.372	03Jun1997	1997a	MC	BS	2	24.6	0.0	1.2	0.2	-999.9	-999.9	0.0	0.2	0.0	3.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.509	68 25.358	03Jun1997	1997a	MC	BS	4	34.4	1.2	3.0	0.4	-999.9	-999.9	0.0	0.0	0.0	13.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.497	68 25.366	03Jun1997	1997a	MC	BS	8	24.6	1.0	1.6	2.0	-999.9	-999.9	0.2	0.0	0.0	14.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.885	68 27.212	03Jun1997	1997a	MC	GR	0	18.0	4.2	0.2	0.8	-999.9	-999.9	0.2	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.855	68 27.207	03Jun1997	1997a	MC	GR	1	37.8	2.0	1.0	1.0	-999.9	-999.9	0.8	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.877	68 27.203	03Jun1997	1997a	MC	GR	2	11.4	0.0	0.8	0.0	-999.9	-999.9	0.0	0.6	0.0	0.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.866	68 27.207	03Jun1997	1997a	MC	GR	4	18.6	1.0	2.6	0.0	-999.9	-999.9	0.0	0.0	0.0	0.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.839	68 27.221	03Jun1997	1997a	MC	GR	8	31.4	0.0	0.0	0.0	-999.9	-999.9	0.0	0.6	0.0	0.7	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.338	68 28.328	04Jun1997	1997a	SC	HN	0	83.2	0.6	0.6	0.8	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.361	68 28.309	04Jun1997	1997a	SC	HN	1	58.6	0.2	0.6	0.2	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.354	68 28.316	04Jun1997	1997a	SC	HN	2	50.0	0.0	0.6	2.4	-999.9	-999.9	0.0	0.0	0.0	3.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.377	68 28.281	04Jun1997	1997a	SC	HN	4	26.2	0.0	7.6	0.2	-999.9	-999.9	0.2	0.0	0.0	7.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 10.326	68 28.314	04Jun1997	1997a	SC	HN	8	26.0	0.2	1.2	0.0	-999.9	-999.9	0.0	0.0	0.0	15.1	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.923	68 28.626	05Jun1997	1997a	SC	MD	0	13.6	4.4	2.2	1.0	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.931	68 28.642	05Jun1997	1997a	SC	MD	1	117.6	0.4	0.6	1.4	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.909	68 28.635	05Jun1997	1997a	SC	MD	2	37.4	0.6	1.2	0.2	-999.9	-999.9	0.0	0.0	0.0	0.3	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.946	68 28.596	05Jun1997	1997a	SC	MD	4	42.6	0.0	26.2	0.4	-999.9	-999.9	0.0	0.0	0.0	4.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.945	68 28.626	05Jun1997	1997a	SC	MD	8	21.0	0.0	17.8	0.0	-999.9	-999.9	0.0	0.0	0.0	3.5	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.614	68 28.834	03Jun1997	1997a	SC	PL	0	10.0	0.4	1.4	0.2	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.606	68 28.858	03Jun1997	1997a	SC	PL	1	2.8	0.4	0.4	1.0	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.615	68 28.802	03Jun1997	1997a	SC	PL	2	19.8	1.4	1.2	1.2	-999.9	-999.9	0.0	0.0	0.0	0.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.615	68 28.816	03Jun1997	1997a	SC	PL	4	9.2	0.0	2.4	0.2	-999.9	-999.9	0.0	0.0	0.0	3.8	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.613	68 28.849	03Jun1997	1997a	SC	PL	8	51.2	0.0	2.6	0.2	-999.9	-999.9	0.0	0.0	0.0	2.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.314	68 28.117	04Jun1997	1997a	TC	JL	0	15.8	12.0	3.8	0.2	-999.9	-999.9	0.2	0.0	2.3	18.2	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.318	68 28.167	04Jun1997	1997a	TC	JL	1	6.0	27.2	8.2	0.2	-999.9	-999.9	0.0	0.0	0.1	15.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.309	68 28.157	04Jun1997	1997a	TC	JL	2	95.8	6.0	14.6	2.6	-999.9	-999.9	0.0	0.0	0.0	5.9	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.312	68 28.98	05Jun1997	1997a	TC	JL	4	29.2	0.0	2.6	0.0	-999.9	-999.9	0.0	0.0	0.0	10.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 9.312	68 28.141	04Jun1997	1997a	TC	JL	8	29.4	0.2	6.8	0.2	-999.9	-999.9	0.0	0.0	0.0	13.4	-999.9	-999.9	-999.9	-999.9	-999.9
44 8.164	68 27.194	04Jun1997	1997a	TC	LD	0	24.2	8.6	1.0	2.4	-999.9	-999.9	0.0	0.0	0.0	0.0	-999.9	-999.9	-999.9	-999.9	-999.9
